Date,Estimated TWh per Year,Minimum TWh per Year
2017/5/20,2.338303676,2.131205326
2017/5/21,2.331935882,2.229735423
2017/5/22,2.406776469,2.275484122
2017/5/23,2.479115952,2.227112613
2017/5/24,2.558065229,2.259307284
2017/5/25,2.646792663,2.264728384
2017/5/26,2.594668865,2.265016354
2017/5/27,2.405446578,2.337235469
2017/5/28,2.476709775,2.324489949
2017/5/29,2.554141856,2.420611679
2017/5/30,2.640266675,2.5750455
2017/5/31,2.730854387,2.620293323
2017/6/01,2.826686671,2.626109023
2017/6/02,2.907777141,2.704774783
2017/6/03,2.981139609,2.679535513
2017/6/04,3.064259804,2.797396452
2017/6/05,3.144804884,2.819195431
2017/6/06,3.237369948,2.904962236
2017/6/07,3.323433237,2.979114599
2017/6/08,3.413413526,3.053939407
2017/6/09,3.506484564,3.045974463
2017/6/10,3.610107044,3.14029973
2017/6/11,3.723905339,3.25248524
2017/6/12,3.797648629,3.264021418
2017/6/13,3.727929747,3.343921371
2017/6/14,3.72072264,3.444172562
2017/6/15,3.703363615,3.499038777
2017/6/16,3.599742448,3.552171505
2017/6/17,3.741162104,3.710890996
2017/6/18,3.860209623,3.748623228
2017/6/19,3.969327085,3.787478414
2017/6/20,4.093115521,3.854525146
2017/6/21,4.179562149,3.941545663
2017/6/22,4.259887252,3.920404035
2017/6/23,4.275458639,3.952378806
2017/6/24,4.205760974,4.02581075
2017/6/25,4.247844107,4.09776913
2017/6/26,4.280749215,4.168411209
2017/6/27,4.311585014,4.23087092
2017/6/28,4.339531991,4.330508892
2017/6/29,4.402986825,4.386876372
2017/6/30,4.412059266,4.412059266
2017/7/01,4.428560714,4.428560714
2017/7/02,4.470532744,4.470532744
2017/7/03,4.503891803,4.503891803
2017/7/04,4.551541854,4.551541854
2017/7/05,4.603850652,4.603850652
2017/7/06,4.685427549,4.685427549
2017/7/07,4.720315752,4.720315752
2017/7/08,4.751416039,4.751416039
2017/7/09,4.806605585,4.806605585
2017/7/10,4.843731356,4.843731356
2017/7/11,4.859572081,4.859572081
2017/7/12,4.834840314,4.834840314
2017/7/13,4.840132576,4.840132576
2017/7/14,4.833023552,4.833023552
2017/7/15,4.803703789,4.803703789
2017/7/16,4.766715987,4.766715987
2017/7/17,4.749909102,4.749909102
2017/7/18,4.729485189,4.729485189
2017/7/19,4.71051288,4.71051288
2017/7/20,4.703696299,4.703696299
2017/7/21,4.707310941,4.707310941
2017/7/22,4.690474705,4.690474705
2017/7/23,4.676305646,4.676305646
2017/7/24,4.675493445,4.675493445
2017/7/25,4.730304951,4.730304951
2017/7/26,4.744228809,4.744228809
2017/7/27,4.785168591,4.785168591
2017/7/28,4.809768098,4.809768098
2017/7/29,4.830499391,4.830499391
2017/7/30,4.853878435,4.853878435
2017/7/31,4.887976881,4.887976881
2017/8/01,4.919774492,4.919774492
2017/8/02,4.889810866,4.889810866
2017/8/03,4.838633991,4.838633991
2017/8/04,4.84,4.84
2017/8/05,4.852393322,4.852393322
2017/8/06,4.796543686,4.796543686
2017/8/07,4.762762796,4.762762796
2017/8/08,4.754496176,4.754496176
2017/8/09,4.731194094,4.731194094
2017/8/10,4.73400001,4.73400001
2017/8/11,4.71080465,4.71080465
2017/8/12,4.69375845,4.69375845
2017/8/13,4.670178915,4.670178915
2017/8/14,4.654739543,4.654739543
2017/8/15,4.700600937,4.700600937
2017/8/16,4.726813895,4.726813895
2017/8/17,4.75,4.75
2017/8/18,4.788302893,4.788302893
2017/8/19,4.870241654,4.870241654
2017/8/20,4.907628335,4.907628335
2017/8/21,4.935898541,4.935898541
2017/8/22,4.975164539,4.975164539
2017/8/23,5.007083634,5.007083634
2017/8/24,5.058159453,5.058159453
2017/8/25,5.113268468,5.113268468
2017/8/26,5.112862742,5.112862742
2017/8/27,5.087907653,5.087907653
2017/8/28,5.061299627,5.061299627
2017/8/29,5.031147042,5.031147042
2017/8/30,5.013370788,5.013370788
2017/8/31,4.979932314,4.979932314
2017/9/01,4.958155193,4.958155193
2017/9/02,4.933731895,4.933731895
2017/9/03,4.894696514,4.894696514
2017/9/04,4.859700449,4.859700449
2017/9/05,4.822876904,4.822876904
2017/9/06,4.780234108,4.780234108
2017/9/07,4.731589532,4.731589532
2017/9/08,4.753140801,4.753140801
2017/9/09,4.766265094,4.766265094
2017/9/10,4.785301022,4.785301022
2017/9/11,4.821213995,4.821213995
2017/9/12,4.847920237,4.847920237
2017/9/13,4.88372815,4.88372815
2017/9/14,4.895908541,4.895908541
2017/9/15,4.914029442,4.914029442
2017/9/16,4.939625356,4.939625356
2017/9/17,4.958438618,4.958438618
2017/9/18,4.98333534,4.98333534
2017/9/19,5.014094874,5.014094874
2017/9/20,5.038793163,5.038793163
2017/9/21,5.050993609,5.050993609
2017/9/22,5.076871282,5.076871282
2017/9/23,5.070586932,5.070586932
2017/9/24,5.010829315,5.010829315
2017/9/25,4.949051345,4.949051345
2017/9/26,4.892563486,4.892563486
2017/9/27,4.825291582,4.825291582
2017/9/28,4.771811615,4.771811615
2017/9/29,4.7071922,4.7071922
2017/9/30,4.64124847,4.64124847
2017/10/01,4.573287796,4.573287796
2017/10/02,4.500030942,4.500030942
2017/10/03,4.431361601,4.431361601
2017/10/04,4.35316785,4.35316785
2017/10/05,4.28903336,4.28903336
2017/10/06,4.262728543,4.262728543
2017/10/07,4.27600234,4.27600234
2017/10/08,4.283129579,4.283129579
2017/10/09,4.293989093,4.293989093
2017/10/10,4.3216071,4.3216071
2017/10/11,4.323231099,4.323231099
2017/10/12,4.345141634,4.345141634
2017/10/13,4.363375688,4.363375688
2017/10/14,4.387798417,4.387798417
2017/10/15,4.41267548,4.41267548
2017/10/16,4.428373309,4.428373309
2017/10/17,4.539229036,4.539229036
2017/10/18,4.925077132,4.925077132
2017/10/19,5.326147452,5.326147452
2017/10/20,5.747775742,5.747775742
2017/10/21,6.181089808,6.181089808
2017/10/22,6.581258149,6.581258149
2017/10/23,7.003932795,7.003932795
2017/10/24,7.41899239,7.41899239
2017/10/25,7.830029867,7.830029867
2017/10/26,8.24564261,8.24564261
2017/10/27,8.626154239,8.325123765
2017/10/28,9.076256775,8.52708617
2017/10/29,9.196264139,8.729785201
2017/10/30,9.256343396,8.293875801
2017/10/31,9.335183131,8.386274641
2017/11/01,9.376460489,8.63605041
2017/11/02,9.420172072,8.278854304
2017/11/03,9.437499436,8.180801576
2017/11/04,9.50570088,8.119017418
2017/11/05,9.55304828,8.263932668
2017/11/06,9.603916527,8.252663601
2017/11/07,9.627722556,8.128718958
2017/11/08,9.68362066,8.371883458
2017/11/09,9.763040104,8.189257038
2017/11/10,9.787091113,8.256983414
2017/11/11,9.758460411,8.340768819
2017/11/12,9.885068052,8.565165925
2017/11/13,9.968796755,8.396602985
2017/11/14,9.99448332,8.323055388
2017/11/15,10.05480204,8.231530193
2017/11/16,10.12502153,8.054330264
2017/11/17,10.1757538,8.068490116
2017/11/18,10.24880791,7.99595777
2017/11/19,10.26064465,8.103613294
2017/11/20,10.3342632,8.52456532
2017/11/21,10.3976165,8.46368515
2017/11/22,10.41712191,8.422184643
2017/11/23,10.47289052,8.740673296
2017/11/24,10.58325548,8.86529763
2017/11/25,10.58589521,8.962789248
2017/11/26,10.6449514,8.941704635
2017/11/27,10.72905978,8.856144016
2017/11/28,10.79505542,8.656364307
2017/11/29,10.8508926,8.725104268
2017/11/30,10.88971891,8.883950794
2017/12/01,10.960318,8.806906422
2017/12/02,11.02026887,8.9136299
2017/12/03,11.04700306,8.613519903
2017/12/04,11.07472688,8.586409102
2017/12/05,11.0948165,8.283658149
2017/12/06,11.0649785,8.237759143
2017/12/07,11.0588532,8.313014225
2017/12/08,11.08661474,8.686289153
2017/12/09,11.03072534,8.64628471
2017/12/10,11.10066128,8.618181443
2017/12/11,11.0722814,8.633970359
2017/12/12,11.14006927,8.613149153
2017/12/13,11.17604334,8.79376779
2017/12/16,11.71296608,9.460688537
2017/12/17,11.71296608,9.412753842
2017/12/18,11.72615581,9.479318416
2017/12/19,11.65698144,9.26301073
2017/12/20,11.3498309,9.08832402
2017/12/21,11.05977362,9.184978797
2017/12/22,10.89014858,9.078025642
2017/12/23,10.54625979,9.393803787
2017/12/24,10.20532814,9.730976805
2017/12/25,9.877678088,9.877678088
2017/12/26,9.646253444,9.646253444
2017/12/27,9.467532494,9.467532494
2017/12/28,9.491567634,9.491567634
2017/12/29,9.47857518,9.47857518
2017/12/30,9.505283961,9.505283961
2017/12/31,9.556106503,9.556106503
2018/1/01,9.611465474,9.611465474
2018/1/02,9.699422627,9.699422627
2018/1/03,9.770132925,9.770132925
2018/1/04,9.847217634,9.696404608
2018/1/05,9.948720598,9.691868695
2018/1/06,10.03023899,9.598958324
2018/1/07,10.14506703,9.811489988
2018/1/08,10.26512523,10.06502236
2018/1/09,10.3951382,10.04298695
2018/1/10,10.5325654,9.971028024
2018/1/11,10.65754637,10.39833516
2018/1/12,10.66417223,10.39773061
2018/1/13,10.93421608,10.62253663
2018/1/14,11.09869138,10.74828097
2018/1/15,11.23554505,10.80876323
2018/1/16,11.34572222,10.87963882
2018/1/17,11.44056317,11.12522941
2018/1/18,11.54657811,11.24344186
2018/1/19,11.65224938,11.30087056
2018/1/20,11.76852026,11.69385804
2018/1/21,11.9040206,11.9040206
2018/1/22,12.00701018,12.00701018
2018/1/23,12.10394785,12.10394785
2018/1/24,12.20754205,12.20754205
2018/1/25,12.31499043,12.31499043
2018/1/26,12.42006144,12.42006144
2018/1/27,12.53038947,12.42879519
2018/1/28,12.6830719,12.40595941
2018/1/29,12.78677348,12.78677348
2018/1/30,12.91522121,12.69822618
2018/1/31,13.02664356,12.83515539
2018/2/01,13.13356865,13.07838194
2018/2/02,13.22200823,13.22200823
2018/2/03,13.31125669,13.31125669
2018/2/04,13.43115638,13.43115638
2018/2/05,13.5010371,13.5010371
2018/2/06,13.56581403,13.56581403
2018/2/07,13.64226965,13.64226965
2018/2/08,13.62416041,13.62416041
2018/2/09,13.61035062,13.61035062
2018/2/10,13.59750825,13.59750825
2018/2/11,13.58115139,13.58115139
2018/2/12,13.56870216,13.56870216
2018/2/13,13.6462459,13.6462459
2018/2/14,13.72949145,13.72949145
2018/2/15,13.81674422,13.81674422
2018/2/16,13.93565094,13.93565094
2018/2/17,14.02664845,14.02664845
2018/2/18,14.11366249,14.11366249
2018/2/19,14.20182899,14.20182899
2018/2/20,14.28801547,13.92879221
2018/2/21,14.39921722,13.54602706
2018/2/22,14.47395431,14.00686876
2018/2/23,14.55233331,13.87892749
2018/2/24,14.62870741,14.04416153
2018/2/25,14.70526685,14.50140575
2018/2/26,14.7841738,14.22228972
2018/2/27,14.89911579,13.89445444
2018/2/28,14.97880127,14.24268889
2018/3/01,15.05847528,14.46732103
2018/3/02,15.13726096,14.16027447
2018/3/03,15.21589607,14.6711695
2018/3/04,15.29398377,14.59652198
2018/3/05,15.40724698,14.48651825
2018/3/06,15.48223834,14.38456833
2018/3/07,15.55066227,14.49118353
2018/3/08,15.61451283,14.74086326
