Date,tx,transactionfee,blocks,blockreward,gasused,etherprice,hashrate,dailyethburnt
2015-07-30,8893,0,6912,39316.09375,0,0.0,11.5297,
2015-07-31,0,0,6863,36191.71875,0,0.0,51.4594,
2015-08-01,0,0,5293,27705.9375,0,0.0,57.7845,
2015-08-02,0,0,5358,28223.4375,0,0.0,67.9224,
2015-08-03,0,0,5280,27976.71875,0,0.0,74.5737,
2015-08-04,0,0,5368,28478.4375,0,0.0,82.0352,
2015-08-05,0,0,5235,27528.59375,0,0.0,86.1558,
2015-08-06,0,0,5116,27075.46875,0,0.0,88.3326,
2015-08-07,2050,37318413511279304835,5189,27437.65625,49353826,2.77,95.2981,
2015-08-08,2881,68099970071856826797,5256,27943.4375,376006093,0.81,104.8971,
2015-08-09,1329,14098949703205590944,5123,27178.28125,38863003,0.74,109.6916,
2015-08-10,2037,31165144438378735884,5255,27817.34375,74070061,0.68,120.5988,
2015-08-11,4963,11311448586019755030,5280,28027.8125,163481740,1.06,134.7695,
2015-08-12,2036,32586992404377741650,5124,27370.9375,70102332,1.25,143.0004,
2015-08-13,2842,24929169109943118841,5286,28268.125,88234087,1.78,156.6101,
2015-08-14,3174,14354834112827458118,5809,31106.71875,78746522,1.8,196.7576,
2015-08-15,2284,8836593028046850811,5382,28512.65625,59565914,1.79,227.665,
2015-08-16,2440,6677237924905556046,5132,27094.53125,58241191,1.37,231.8948,
2015-08-17,2512,7642811839634956979,5347,28118.90625,60515132,1.2,258.9066,
2015-08-18,2494,11906071340176042601,4948,26162.8125,66816413,1.27,270.4645,
2015-08-19,3246,15430950669480218002,5192,27282.03125,91746712,1.26,284.0496,
2015-08-20,2303,6855566942706630722,4024,21057.03125,63112713,1.48,221.4382,
2015-08-21,3919,7855041724705318491,5088,26690.9375,106379973,1.44,277.282,
2015-08-22,3579,42547171829582457556,5271,27550.46875,90744195,1.39,312.6127,
2015-08-23,4190,8049767672901801716,5013,26255.625,117802449,1.35,317.1623,
2015-08-24,4432,8876285419798610754,5184,27333.28125,97648912,1.24,333.3458,
2015-08-25,4487,8259755825110535782,5097,26736.09375,114480057,1.17,325.2465,
2015-08-26,4156,7447729278556984663,5003,26137.96875,99511209,1.16,343.1277,
2015-08-27,5590,8670963042887940562,4708,24532.8125,147888097,1.13,341.1168,
2015-08-28,4758,9925148370505206658,4653,24225.15625,111903559,1.3,355.2287,
2015-08-29,4139,5507451526061552074,4329,22525.0,99107570,1.18,351.453,
2015-08-30,4572,5634173742432616856,4155,21453.59375,102643603,1.32,340.144,
2015-08-31,5196,7424533814378986634,4122,21293.4375,129040364,1.35,359.3523,
2015-09-01,5153,7843769855894396934,3938,20342.96875,140186844,1.35,363.4134,
2015-09-02,5195,8153735331051015790,3577,18387.34375,139367393,1.29,355.9032,
2015-09-03,4777,6970025674099678731,3383,17380.9375,126323875,1.26,339.3088,
2015-09-04,5642,9733856361469302860,4443,23081.875,167169621,1.27,350.0661,
2015-09-05,5519,9141228323603367680,4921,25629.0625,159443421,1.37,374.917,
2015-09-06,5521,8055487734515995632,4978,26168.28125,142769611,1.3,388.4451,
2015-09-07,5702,9256422395866533683,4834,25460.46875,170954165,1.24,379.8349,
2015-09-08,5622,10379926302044415805,4923,25892.5,159613715,1.23,370.7395,
2015-09-09,5604,9840601069163061227,5035,26427.65625,173606036,1.21,386.1935,
2015-09-10,5341,7925807170796993218,5003,26444.21875,141533806,1.16,392.0801,
2015-09-11,6460,8876728152679961379,5141,27239.84375,160019709,0.98,421.6556,
2015-09-12,5596,11354833193505237873,5026,26401.09375,186314190,1.04,424.2721,
2015-09-13,6057,9578725673919106360,4971,26171.40625,177583552,0.94,432.7014,
2015-09-14,5572,9901548419395161346,4851,25588.125,171636301,0.87,399.6471,
2015-09-15,5409,8426997145283307063,4842,25615.3125,148568242,0.94,387.7858,
2015-09-16,5872,15146617077844793236,4956,26318.125,146153300,0.9,383.9057,
2015-09-17,5368,8556523791455505710,4808,25435.625,147106346,0.89,362.1457,
2015-09-18,5802,11834821066198469252,4889,25901.71875,212949263,0.85,346.2296,
2015-09-19,5205,7982204372925467553,5078,27179.6875,151038683,0.89,357.5566,
2015-09-20,6402,10969645471755072320,5305,27982.65625,206446103,0.94,408.748,
2015-09-21,6305,10180741940942933773,5075,26651.875,190902398,0.9,409.9779,
2015-09-22,6804,11404145175916603648,5051,26370.3125,211491983,0.9,410.0917,
2015-09-23,7404,10700267104792060772,5165,27080.3125,198471252,0.9,438.8619,
2015-09-24,6224,10319506266501325064,5021,26385.78125,183782502,0.81,436.2345,
2015-09-25,5851,9836594916126598067,5126,27003.4375,178617418,0.74,443.497,
2015-09-26,5907,9289146478621032364,4930,25910.3125,160320021,0.78,440.6371,
2015-09-27,5760,8423870450444848099,4773,25011.09375,165754018,0.72,426.444,
2015-09-28,6123,9272346609307110334,4738,24714.21875,171799357,0.59,391.4721,
2015-09-29,5738,8877328420749419272,4640,24368.4375,155322802,0.68,347.3122,
2015-09-30,5870,8385327115721004019,4757,25093.75,161315703,0.72,332.8925,
2015-10-01,6421,8767949463445914933,5210,27422.03125,167413168,0.68,365.2783,
2015-10-02,6063,9765296662850670640,5143,26913.125,175336965,0.68,378.4969,
2015-10-03,6112,9791648364458627976,5077,26453.75,176738025,0.69,390.9186,
2015-10-04,6624,9431925785897953000,4886,25480.15625,175625589,0.67,371.1233,
2015-10-05,6279,11486773507230090791,5009,26136.875,217225401,0.63,385.5859,
2015-10-06,6458,9995299953552863558,4806,25036.5625,185466056,0.66,368.4521,
2015-10-07,7121,12182989920710770554,5004,26133.59375,227483136,0.61,366.9765,
2015-10-08,6926,11972933368342351096,5152,26782.1875,206603046,0.62,375.1336,
2015-10-09,6763,11309218384317883884,4905,25447.65625,180944156,0.65,364.9485,
2015-10-10,6529,11382811617053815692,4896,25499.6875,174240457,0.63,360.6383,
2015-10-11,6023,8998794599150719656,5073,26510.78125,154497993,0.63,381.8711,
2015-10-12,6593,10703807320817251298,5148,26800.0,200001725,0.63,386.3386,
2015-10-13,6818,12323248799642253340,5108,26668.28125,223630692,0.6,397.9554,
2015-10-14,6830,11831998521079002721,4934,25875.625,193279995,0.51,394.1999,
2015-10-15,6499,18870343861669733508,4926,25610.46875,347607211,0.56,372.9212,
2015-10-16,6795,21179446545648124480,4883,25441.40625,400824348,0.53,347.0096,
2015-10-17,6567,12291462445798012724,5056,26450.625,230368185,0.55,373.0388,
2015-10-18,6481,13113012602069783055,4945,25848.28125,249377360,0.52,362.4454,
2015-10-19,6604,11699219139603278508,4975,25966.71875,216816740,0.49,360.9165,
2015-10-20,5897,11527019798769716636,4990,26192.5,191557542,0.44,359.4184,
2015-10-21,6182,10155857734674392412,4990,26046.40625,180468852,0.44,358.9999,
2015-10-22,5979,13200504837911974188,4835,25330.78125,237772273,0.59,341.149,
2015-10-23,6888,13747941391847577549,5263,27558.59375,260401303,0.52,380.6258,
2015-10-24,6361,10696638217152165404,5171,27115.0,211420205,0.57,400.8051,
2015-10-25,5830,9079512126157535658,5096,26814.21875,170100960,0.65,415.4128,
2015-10-26,5938,10773267121614423564,4908,25915.3125,203310004,0.74,399.276,
2015-10-27,6784,18902897578375482359,5220,27526.25,365376906,0.87,423.6995,
2015-10-28,7346,10898696630107062428,4967,26348.4375,202357247,1.01,425.0888,
2015-10-29,7836,12550751739957046206,5158,27507.03125,241667844,1.16,457.198,
2015-10-30,7941,13466321660416294744,5232,27723.90625,250649964,1.04,485.0091,
