Date,Tx count,Tx fees (ETH),Block count,Block rewards (ETH),Gas used,Price (USD),Estimated TWh per Year,Minimum TWh per Year,Block reward (ETH),Hashrate (GH/s),Hashcount (EH/day),Estimated GWh per day,Minimum GWh per day
7/30/2015,8893,0,6912,39316.09375,0,0,2.338303676,2.131205326,5,11.5297,0.00099616608,6.406311441,5.838918701
7/31/2015,0,0,6863,36191.71875,0,0,2.338303676,2.131205326,5,51.4594,0.00444609216,6.406311441,5.838918701
8/1/2015,0,0,5293,27705.9375,0,0,2.338303676,2.131205326,5,57.7845,0.0049925808,6.406311441,5.838918701
8/2/2015,0,0,5358,28223.4375,0,0,2.338303676,2.131205326,5,67.9224,0.00586849536,6.406311441,5.838918701
8/3/2015,0,0,5280,27976.71875,0,0,2.338303676,2.131205326,5,74.5737,0.00644316768,6.406311441,5.838918701
8/4/2015,0,0,5368,28478.4375,0,0,2.338303676,2.131205326,5,82.0352,0.00708784128,6.406311441,5.838918701
8/5/2015,0,0,5235,27528.59375,0,0,2.338303676,2.131205326,5,86.1558,0.00744386112,6.406311441,5.838918701
8/6/2015,0,0,5116,27075.46875,0,0,2.338303676,2.131205326,5,88.3326,0.00763193664,6.406311441,5.838918701
8/7/2015,2050,37.31841351,5189,27437.65625,49353826,2.77,2.338303676,2.131205326,5,95.2981,0.00823375584,6.406311441,5.838918701
8/8/2015,2881,68.09997007,5256,27943.4375,376006093,0.81,2.338303676,2.131205326,5,104.8971,0.00906310944,6.406311441,5.838918701
8/9/2015,1329,14.0989497,5123,27178.28125,38863003,0.74,2.338303676,2.131205326,5,109.6916,0.00947735424,6.406311441,5.838918701
8/10/2015,2037,31.16514444,5255,27817.34375,74070061,0.68,2.338303676,2.131205326,5,120.5988,0.01041973632,6.406311441,5.838918701
8/11/2015,4963,11.31144859,5280,28027.8125,163481740,1.06,2.338303676,2.131205326,5,134.7695,0.0116440848,6.406311441,5.838918701
8/12/2015,2036,32.5869924,5124,27370.9375,70102332,1.25,2.338303676,2.131205326,5,143.0004,0.01235523456,6.406311441,5.838918701
8/13/2015,2842,24.92916911,5286,28268.125,88234087,1.78,2.338303676,2.131205326,5,156.6101,0.01353111264,6.406311441,5.838918701
8/14/2015,3174,14.35483411,5809,31106.71875,78746522,1.8,2.338303676,2.131205326,5,196.7576,0.01699985664,6.406311441,5.838918701
8/15/2015,2284,8.836593028,5382,28512.65625,59565914,1.79,2.338303676,2.131205326,5,227.665,0.019670256,6.406311441,5.838918701
8/16/2015,2440,6.677237925,5132,27094.53125,58241191,1.37,2.338303676,2.131205326,5,231.8948,0.02003571072,6.406311441,5.838918701
8/17/2015,2512,7.64281184,5347,28118.90625,60515132,1.2,2.338303676,2.131205326,5,258.9066,0.02236953024,6.406311441,5.838918701
8/18/2015,2494,11.90607134,4948,26162.8125,66816413,1.27,2.338303676,2.131205326,5,270.4645,0.0233681328,6.406311441,5.838918701
8/19/2015,3246,15.43095067,5192,27282.03125,91746712,1.26,2.338303676,2.131205326,5,284.0496,0.02454188544,6.406311441,5.838918701
8/20/2015,2303,6.855566943,4024,21057.03125,63112713,1.48,2.338303676,2.131205326,5,221.4382,0.01913226048,6.406311441,5.838918701
8/21/2015,3919,7.855041725,5088,26690.9375,106379973,1.44,2.338303676,2.131205326,5,277.282,0.0239571648,6.406311441,5.838918701
8/22/2015,3579,42.54717183,5271,27550.46875,90744195,1.39,2.338303676,2.131205326,5,312.6127,0.02700973728,6.406311441,5.838918701
8/23/2015,4190,8.049767673,5013,26255.625,117802449,1.35,2.338303676,2.131205326,5,317.1623,0.02740282272,6.406311441,5.838918701
8/24/2015,4432,8.87628542,5184,27333.28125,97648912,1.24,2.338303676,2.131205326,5,333.3458,0.02880107712,6.406311441,5.838918701
8/25/2015,4487,8.259755825,5097,26736.09375,114480057,1.17,2.338303676,2.131205326,5,325.2465,0.0281012976,6.406311441,5.838918701
8/26/2015,4156,7.447729279,5003,26137.96875,99511209,1.16,2.338303676,2.131205326,5,343.1277,0.02964623328,6.406311441,5.838918701
