Name	Kind	Address	Gas	Transactions	kgCO2
Async	ASYNC	0x6c424c25e9f1fff9642cb5b7750b0db7312c29ad	597222887	7417	127445
Async	ASYNC-V2	0xb6dae651468e9593e4581705a09c10a76ac1e0c8	905760029	7665	269163
Foundation	ERC-721	0xcda72070e455bb31c7690a170224ce43623d0b6f	4518603663	37173	2269837
Foundation	FND NFT (FNDNFT) ERC-20	0x3b3ee1931dc30c1957379fac9aba94d1c48a5405	3653146486	14213	1835283
Known Origin	KnownOriginDigitalAsset (KODA)	0xfbeef911dc5821886e1dda71586d90ed28174b7d	4678317750	19182	1468925
Makersplace	MakersTokenV2 (MKT2)	0x2a46f2ffd99e19a89476e2f62270e0a35bbf0756	21679291384	69165	6222148
Nifty Gateway	multiple		31925469187	116536	13382130
OpenSea	Wyvern Exchange	0x7be8076f4ea4a4ad08075c2508e481d6c946d12b	137352142611	695639	46634605
OpenSea	ENS Resolver	0x9c4e9cce4780062942a7fe34fa2fa7316c872956	94540156	2155	25910
OpenSea	Registry	0xa5409ec958c83c3f309868babaca7c86dcb077c1	35506939120	96157	13995344
OpenSea	Wallet	0x5b3256965e7c3cf26e11fcaf296dfc8807c01073	67276296	795	23941
OpenSea	Shared Storefront	0x495f947276749ce646f68ac8c248420045cb7b5e	615954083	9788	293172
OpenSea	OPT	0x1129eb10812935593bf44fe0a9b62a59a9202f6d	4993422	48	1840
Rarible	1	0x60f80121c31a0d46b5279700f9df786054aa5ee5	25487465391	158853	9624407
Rarible	2	0xfca59cd816ab1ead66534d82bc21e7515ce441cf	2217059630	57578	679913
SuperRare	Bids	0x2947f98c42597966a0ec25e92843c09ac17fbaa7	5993447725	90436	1583037
SuperRare	ERC-20	0x41a322b28d0ff354040e2cbc676f0320d8c8850d	2684741072	32818	1035116
SuperRare	ERC-721	0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0	5239233824	28155	1485524
SuperRare	Unknown 1	0x65b49f7aee40347f5a90b714be4ef086f3fe5e2c	950100324	11502	481954
SuperRare	Unknown 2	0x8c9f364bf7a56ed058fc63ef81c6cf09c833e656	1083470507	9063	446728
Zora	market	0xe5bfab544eca83849c53464f85b7164375bdaac1	1922788	2	567
Zora	media	0xabefbc9fd2f806065b4f3c237d4b59d9a97bcac7	1870015050	7135	868405
