Totals for data,Async,Foundation,KnownOrigin,Makersplace,Nifty Gateway,OpenSea,Rarible,SuperRare,Zora
2021-04-29,2323745,256502052,5761518,48662460,136038427,833789298,567563158,30387124,4940022
2021-04-28,3016129,279077612,6348018,75123558,270844196,867020291,604017197,40605422,11310048
2021-04-27,4462063,292849015,8990615,78397891,419006936,935029454,629649782,42061667,11568048
2021-04-26,6213165,354825573,14773684,75862654,370798373,1115191523,682364817,44319140,7041717
2021-04-25,2354790,500980306,13212040,107476289,1011071803,1188155613,844142380,36301849,10745528
2021-04-24,3182591,584028250,13865483,128673651,128440417,1289157598,893618533,34387409,11903005
2021-04-23,4789354,418032008,19464377,84503668,511832525,1064947261,647372433,47900971,11229235
2021-04-22,1320248,332479412,8386676,97177624,100693703,736448042,533502320,46434369,9229721
2021-04-21,1908625,292408208,8534274,78021632,599504155,727925563,506655744,40671514,4759006
2021-04-20,2905871,175888870,10437630,47705914,548939002,528403544,323490940,35387310,6374583
2021-04-19,1519575,138956176,7555756,24966331,418792772,466764771,252572434,45736953,3641110
2021-04-18,1550691,290843740,7820860,39321120,432421939,793078076,525828711,46393998,3708585
2021-04-17,1240645,217273842,5285197,51763831,408212685,712788587,455021004,32808400,3329864
2021-04-16,2177431,182301190,9684343,129657518,1817712503,691101460,398199437,48002977,10445653
2021-04-15,5779149,368096704,13947228,68865754,611765993,1087524130,563378211,58290592,9214874
2021-04-14,10791710,297047154,24828997,90318140,252681577,936854425,594074558,44082225,6526592
2021-04-13,2773088,261561193,19761568,60175989,315239857,960524326,590737281,50212733,5388815
2021-04-12,3100429,308969178,16390900,82589542,58335958,1087574606,718132000,56184733,12669364
2021-04-11,3165169,368452840,27268238,47265348,237283405,1408336831,874741435,51247294,12028276
2021-04-10,2437438,369888853,45702771,95994790,59820014,1362556899,874604121,68341732,10728534
2021-04-09,2139541,339386833,22237973,55821303,279293886,1171210171,691480279,70840392,16061299
2021-04-08,4902676,366567006,13800995,71817480,192553595,1313515111,801274789,63095775,13848372
2021-04-07,3789768,329480042,10480065,90109195,105543714,1107958986,677272524,54323877,7457441
2021-04-06,1052662,327557965,17978305,181161169,489162717,1106798512,712338003,69039488,15905942
2021-04-05,1722028,313787831,16256359,67868472,501139125,1238538521,632581201,64440589,10366083
2021-04-04,1912112,396271339,28813094,66279116,378825329,1575580144,928254532,52516735,9296320
2021-04-03,2280519,387391182,22269516,109076485,1082457079,1371572766,908416030,64577760,8608712
2021-04-02,1388769,327450574,16861465,118357125,553529965,1468492565,813764633,100491069,10412246
2021-04-01,5888348,368829966,23713242,295168602,651262377,1404448989,919196464,96131685,13102778
2021-03-31,2246017,238568109,31404415,54505443,452039380,1155607945,653594843,72180276,9343654
2021-03-30,3332731,287038455,23585321,47710404,370542455,1418161940,819675480,81823617,13397304
2021-03-29,6923807,315945285,10119094,59515815,409419405,1620717209,842942176,88193185,23837788
2021-03-28,3816708,372257490,17215857,53987621,203117561,1886164458,1173936861,73330614,12545908
2021-03-27,16173796,376913728,33310809,122876951,373545094,1694044788,1091907690,78207658,22309013
2021-03-26,4637616,394419662,43971931,61990392,224679708,1498831750,1109428026,103822624,25054309
2021-03-25,3750720,400854657,27006446,64980191,617688372,1511626236,1037698086,87573392,25691377
2021-03-24,901430,355064941,16284487,66720160,1036621334,1376538160,907311750,109555737,16981857
2021-03-23,4144514,368067490,16872247,73324956,626184219,1777936436,1136154065,107178506,26168896
2021-03-22,6342495,351719650,18736397,40268695,716793562,1545125069,891519943,107300844,15297358
2021-03-21,1320125,359597075,20883163,51386550,383798569,2374796111,1182240970,86967485,22737155
2021-03-20,2819622,384714933,20371186,82765233,676116835,2112760670,1352767198,86742598,21113386
2021-03-19,5243633,393925527,35760911,79917871,461010461,2012199951,1330435545,95942893,44312164
2021-03-18,3746112,384304509,30408042,265460951,437537455,2942968531,1293335708,93732011,39850958
2021-03-17,11186532,389092111,28647634,97630847,1141319837,1870993804,1387840161,78225991,22179184
2021-03-16,8146186,359737662,33793371,103688911,1080019928,2056014104,1192944084,85297349,38541142
2021-03-15,4301991,349089562,22050095,47820102,1046556123,2113294718,1063565812,92789421,26426315
2021-03-14,5708734,339824956,29155646,72293136,903504100,2618512380,1378101902,80845398,22699563
2021-03-13,4936079,351742972,30654632,403591336,897384349,2754503833,1456357410,83271631,40139274
2021-03-12,5090606,354684403,24534287,69749270,1125982900,2246480915,1427997951,93893170,57572477
2021-03-11,3670221,351061876,29556961,66827687,373578311,1692424911,1433425748,105684382,72384628
2021-03-10,4863663,301596177,24770271,118665093,451125794,1886907105,1343614625,92552085,65590756
2021-03-09,21647875,270582946,25952268,90508225,528687557,1690681461,1436478185,94961637,63235854
2021-03-08,6639801,241337953,25611387,70030181,360498613,1607498638,1184589348,99195725,39234402
2021-03-07,3196876,214193218,19306154,70109912,356513837,1699843438,1252787828,71196158,42846004
2021-03-06,1488161,242664447,35125988,86934340,539776486,1839175013,1423574365,75796446,45908111
2021-03-05,4339153,281252232,34482304,305373904,836192063,2001035524,1363846085,89836080,78973921
2021-03-04,3333227,288540471,35449610,133118293,894181777,1445349525,1314141916,101419398,81612213
2021-03-03,7343142,267978516,31814968,136349202,298227591,1270444596,1317990944,100883157,38560088
2021-03-02,7113898,293372827,30576925,85327287,116432987,1422440673,1208929962,108834225,53687856
2021-03-01,7916269,227174582,23557421,84978359,799756495,1170549844,1106329467,107441216,46171826
2021-02-28,6893716,211675475,27884104,122604985,248498605,1103489723,1032889782,91125453,30863348
2021-02-27,7800035,146563779,39283204,128352287,311533765,1040657376,952502840,88516947,30432234
2021-02-26,28530302,133232379,31446798,114611431,529339491,1076266193,817033807,87587512,53822130
2021-02-25,6777318,111364909,27678413,70404218,967746128,815963484,627515133,81894441,51821992
2021-02-24,3019216,93645417,27619859,60457699,1099481629,966682246,675210211,74811046,47943360
