name	kind	address	gas	transactions	kgco2
Async	ASYNC	0x6c424c25e9f1fff9642cb5b7750b0db7312c29ad	599331257	7445	128511
Async	ASYNC-V2	0xb6dae651468e9593e4581705a09c10a76ac1e0c8	1039231563	8890	335678
Foundation	ERC-721	0xcda72070e455bb31c7690a170224ce43623d0b6f	11023270943	85741	5490059
Foundation	FND NFT (FNDNFT) ERC-20	0x3b3ee1931dc30c1957379fac9aba94d1c48a5405	9466719992	36841	4705120
Known Origin	KnownOriginDigitalAsset (KODA)	0xfbeef911dc5821886e1dda71586d90ed28174b7d	5129939934	21156	1696116
Makersplace	MakersTokenV2 (MKT2)	0x2a46f2ffd99e19a89476e2f62270e0a35bbf0756	24799705248	78510	7768245
Nifty Gateway	multiple		48509624632	176687	21662904
Nifty Gateway	GUSD cashout	0x3e6722f32cbe5b3c7bd3dca7017c7ffe1b9e5a2a	1281945397	26279	590735
OpenSea	Wyvern Exchange	0x7be8076f4ea4a4ad08075c2508e481d6c946d12b	162986384222	846184	59454596
OpenSea	OpenSeaENSResolver	0x9c4e9cce4780062942a7fe34fa2fa7316c872956	94540156	2155	25910
OpenSea	WyvernProxyRegistry	0xa5409ec958c83c3f309868babaca7c86dcb077c1	52667581783	142581	22556271
OpenSea	Wallet	0x5b3256965e7c3cf26e11fcaf296dfc8807c01073	67819432	811	24199
OpenSea	OpenSea Shared Storefront (OPENSTORE)	0x495f947276749ce646f68ac8c248420045cb7b5e	1589015757	24768	775218
OpenSea	OpenSea Token (OPT)	0x1129eb10812935593bf44fe0a9b62a59a9202f6d	5153030	54	1918
Rarible	MintableToken (RARI)	0x60f80121c31a0d46b5279700f9df786054aa5ee5	35384835766	222133	14560964
Rarible	RariToken (RARI)	0xfca59cd816ab1ead66534d82bc21e7515ce441cf	2727995460	71072	935233
SuperRare	Bids	0x2947f98c42597966a0ec25e92843c09ac17fbaa7	6066083342	91872	1620008
SuperRare	SupeRare (SUPR)	0x41a322b28d0ff354040e2cbc676f0320d8c8850d	2795926709	34986	1091604
SuperRare	SuperRareV2 (SUPR)	0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0	5920276272	32253	1827087
SuperRare	Unknown 1	0x65b49f7aee40347f5a90b714be4ef086f3fe5e2c	1834719083	22834	926940
SuperRare	Unknown 2	0x8c9f364bf7a56ed058fc63ef81c6cf09c833e656	1650219351	13861	731410
Zora	Market	0xe5bfab544eca83849c53464f85b7164375bdaac1	1922788	2	567
Zora	Media (ZORA)	0xabefbc9fd2f806065b4f3c237d4b59d9a97bcac7	2315436496	9109	1091256
